_id,PARK_NAME,LOCATION_NAME,PARK_TYPE_ID,PARK_TYPE_DESC,CAPACITY_OF_PARK,WORKING_TIME,COUNTY_NAME,LONGITUDE,LATITUDE
597,Söğütlüçeşme Metrobüs Önü Taksi,Söğütlüçeşme Metrobüs Önü Taksi Durağ,TAKSİ PARK,TAKSİ PARK,50,07:00-22:00,KADIKÖY,29.0378072000819998,40.9923949144964013
598,Beşiktaş Halk Pazarı 2,Beşiktaş Halk Pazar,KAPALI OTOPARK,KAPALI OTOPARK,200,24 Saat,BEŞİKTAŞ,29.0005231475345013,41.0497226732138003
599,Güneş Plajı 2,Güneş Plajı ,AÇIK OTOPARK,AÇIK OTOPARK,1000,08:00-20:00,BAKIRKÖY,28.7868871782098985,40.9726998561912978
600,Şehit Volkan Duysak Katlı Otoparkı,Şehit Volkan Duysak Katlı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,1000,24 Saat,ZEYTİNBURNU,28.9042881614357015,40.9965469007855035
601,Vatan Caddesi Migros Önü Açık,Vatan Migros Migros Ön,AÇIK OTOPARK,AÇIK OTOPARK,300,24 Saat,FATİH,28.9404453838822988,41.0160067137112989
602,Ümraniye Dr. Fazıl Küçük Caddesi 1,Ümraniye Dr. Fazıl Küçük Caddes,YOL ÜSTÜ,YOL ÜSTÜ,24,08:00-17:00,ÜMRANİYE,29.1126836778506011,41.0270178416350007
603,Cadde Bostan Açık Otoparkı,Caddebostan Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,66,24 Saat,KADIKÖY,29.0674847149869997,40.9637113280426988
604,Çiroz Yeşilköy Halk Pazarı,Çiroz Yeşilköy Halk Pazar,AÇIK OTOPARK,AÇIK OTOPARK,500,07:00-19:00,BAKIRKÖY,28.8129177050205989,40.9628491559777999
605,Gençler Caddesi 1,Gençler Caddes,YOL ÜSTÜ,YOL ÜSTÜ,35,08:00-19:00,BAKIRKÖY,28.8693382177047013,40.9802074031903985
606,Hacıosman Metro Yer Altı Otoparkı,Hacıosman Metro Yer Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,422,24 Saat,SARIYER,29.0311587123172998,41.140231425401403
607,Kartal Sahil Açık Otoparkı,Kartal Sahil Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,72,24 Saat,KARTAL,29.1901910305023016,40.8873314555860006
608,Fatih Su Yolu Sokak 3,Fatih Su Yolu Soka,YOL ÜSTÜ,YOL ÜSTÜ,40,08:00-22:00,FATİH,28.9536236525007986,41.0169435273394001
609,Feshane P+R Açık Otoparkı,Feshane P+R Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,200,24 Saat,EYÜP,28.9376582135679996,41.0462634409544975
610,Fatih Uzunçarşı Caddesi 1,Fatih Uzun Çarşı Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,07:00-18:00,FATİH,28.9674655449747007,41.0154166485642975
611,Maslak P+R 1,Maslak P+,AÇIK OTOPARK,AÇIK OTOPARK,150,24 Saat,SARIYER,29.0240537687652989,41.1165326748409967
612,Beykoz Fevzipaşa Caddesi 1,Beykoz Fevzi Paşa Caddes,YOL ÜSTÜ,YOL ÜSTÜ,22,09:00-18:00,BEYKOZ,29.091585464854699,41.1346004332963986
613,Münir Nurettin Selçuk Caddesi 5,Münir Nurettin Selçuk Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,09:00-18:00,KADIKÖY,29.0390889901222984,40.9799663298908996
614,Münir Nurettin Selçuk Caddesi 6,Münir Nurettin Selçuk Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,09:00-18:00,KADIKÖY,29.0391678819179013,40.9798145995933965
615,Münir Nurettin Selçuk Caddesi 13,Münir Nurettin Selçuk Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,09:00-18:00,KADIKÖY,29.0397486433706007,40.9791355272160018
616,Kadıköy Metro Açık Otoparkı,Kadıköy Metro Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,60,24 Saat,KADIKÖY,29.0216182101664018,40.9899183509650982
617,Gazi Umur Paşa Sokak 5,Gazi Umur Paşa Soka,YOL ÜSTÜ,YOL ÜSTÜ,45,08:00-18:00,BEŞİKTAŞ,29.0114568326649014,41.059010653778202
618,Sütlüce Miniatürk Yanı 1,Sütlüce Miniatürk Yan,AÇIK OTOPARK,AÇIK OTOPARK,320,24 Saat,BEYOĞLU,28.9499804001294017,41.0570907959868023
619,Sütlüce Miniatürk Yanı 2,Sütlüce Miniatürk Yan,AÇIK OTOPARK,AÇIK OTOPARK,320,24 Saat,BEYOĞLU,28.9499257153103002,41.0570670441396004
620,4.Levent P+R Açık Otoparkı,4.Levent P+R Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,950,24 Saat,KAĞITHANE,29.0081091758835008,41.0835896015816999
621,Fişekhane Caddesi 2,Fişekhane Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,08:00-19:00,BAKIRKÖY,28.8700321405273996,40.9780745209189021
622,Süleymaniye Cami Altı Açık Otoparkı,Süleymaniye Cami Altı Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,250,06:30-19:00,FATİH,28.9608539005371988,41.0160491429123013
623,Eyüp İstanbul Caddesi 1,Eyüp İstanbul Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,09:00-19:00,EYÜP,28.8834084558234991,41.1793733766853975
624,Eyüp İstanbul Caddesi 3,Eyüp İstanbul Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,09:00-19:00,EYÜP,28.8844409943034997,41.1783602003272975
625,Eyüp İstanbul Caddesi 5,Eyüp İstanbul Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,09:00-19:00,EYÜP,28.8901048441368999,41.1764864031845974
626,Arda Turan Spor Kompleksi Katlı,Arda Turan Spor Kompleksi Katl,KAPALI OTOPARK,KAPALI OTOPARK,500,24 Saat,BAYRAMPAŞA,28.9061343669891002,41.0389017145617032
627,Büyük Karaman - Haydarbey Caddeleri 1,Büyük Karaman - Haydarbey Caddeler,YOL ÜSTÜ,YOL ÜSTÜ,60,08:30-19:00,FATİH,28.9530799370274003,41.0161345344916981
628,Tacirhane Sokak 1,Tacirhane Soka,YOL ÜSTÜ,YOL ÜSTÜ,30,07:30-18:00,FATİH,28.9667614064155998,41.014224583216297
629,Alibeyköy Cep Otogarı Açık Otoparkı,Alibeyköy Cep Otogarı Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,116,24 Saat,EYÜP,28.9445382356643997,41.0877898089065994
630,Alibeyköy Cep Otogarı Açık Otoparkı,Alibeyköy Cep Otogarı Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,400,24 Saat,EYÜP,28.9444181129679983,41.0876029931355973
631,Alibeyköy Cep Otogarı Taksi Durağı,Alibeyköy Cep Otogarı Taksi Durağ,TAKSİ PARK,TAKSİ PARK,20,24 Saat,EYÜP,28.9447433064984985,41.0881731777380992
632,Şirinevler Meydan Açık Otoparkı 1,Şirinevler Meydan Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,70,08:00-00:00,BAHÇELİEVLER,28.8494378328323009,40.9960143526424972
633,Bahçelievler Hizmet Hastanesi Önü Açık Otoparkı,Bahçeli Evler Hizmet Hastanesi Ön,AÇIK OTOPARK,AÇIK OTOPARK,150,08:00-18:00,BAHÇELİEVLER,28.8798835873603998,41.0011359141163965
634,Muallim Naci Açık Otoparkı,Muallim Naci Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,35,24 Saat,BEŞİKTAŞ,29.0341401100159011,41.0557660849203998
635,Soğanlık Metro Açık Otoparkı 2,Soğanlık Metro Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,500,24 Saat,KARTAL,29.1926908493041992,40.9132875850979971
636,Aras Sokak 1,Aras Soka,YOL ÜSTÜ,YOL ÜSTÜ,60,05:45-16:00,BÜYÜKÇEKMECE,28.6223217351186001,41.0224907672280992
637,Cevizlibağ Taksi Durağı,Cevizlibağ Taksi Durağ,TAKSİ PARK,TAKSİ PARK,10,07:00-23:00,ZEYTİNBURNU,28.9104485208799993,41.0167801071300033
638,Belgrad Ormanı Bahçeköy Girişi Açık,Belgrad Ormanı Otopark,AÇIK OTOPARK,AÇIK OTOPARK,5000,06:00-20:00,SARIYER,28.9889197599634016,41.1833081634423976
639,Haznedar Yer Altı Otoparkı,Haznedar Yer Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,540,24 Saat,GÜNGÖREN,28.8729094095495,41.0083442312323001
640,Maltepe Orhangazi Şehir Parkı Açık Otoparkı 1,Maltepe Orhangazi Şehir Parkı Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,2750,24 Saat,MALTEPE,29.1160869598388992,40.9313148438185976
641,Yenikapı Spor ve Kültür Merkezi Açık Otoparkı 1,Yenikapı Spor ve Kültür Merkez,AÇIK OTOPARK,AÇIK OTOPARK,1100,24 Saat,FATİH,28.9513778686523011,41.0003869358982982
642,Pendik Devlet Hastanesi Açık Otoparkı,Pendik Devlet Hastanesi Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,124,24 Saat,PENDİK,29.2289006710051993,40.8775184689066009
643,Pendik Devlet Hastanesi Açık Otoparkı.,Pendik Devlet Hastanesi Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,124,24 Saat,PENDİK,29.2288416624069001,40.8775428054529968
644,Kadıköy Metro Yol Üstü 1,Kadıköy Metro Yol Üst,YOL ÜSTÜ,YOL ÜSTÜ,25,06:30-23:00,KADIKÖY,29.0218116562849993,40.9904827588531973
645,Harbiye İlkokulu Yer Altı Otoparkı,Harbiye İlkokulu Yer Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,110,24 Saat,ŞİŞLİ,28.9850878715514995,41.044549949555801
646,Şehit Murat Demirci Kapalı Otoparkı,Şehit Murat Demirci Kapalı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,110,24 Saat,ŞİŞLİ,28.9943602681160009,41.0590587548931012
647,Dudullu Minibüs Depolama Alanı,Dudullu Minibüs Depolama Alanı / C-70 Bostanc,MİNİBÜS PARK,MİNİBÜS PARK,65,07:00-21:00,ÜMRANİYE,29.1608894931117,41.0157632571067978
648,Yenikapı Marmaray Küçük Otoparkı,Yenikapı Marmaray Küçük Otopark,AÇIK OTOPARK,AÇIK OTOPARK,200,07:00-23:00,FATİH,28.9504444599152002,41.0063845956061002
649,Dr. Adnan Büyük Deniz Caddesi 13,Dr. Adnan Büyükdeniz Caddes,YOL ÜSTÜ,YOL ÜSTÜ,100,07:45-17:00,ÜMRANİYE,29.1183041371015996,41.0329369676500022
650,Dr. Adnan Büyük Deniz Caddesi 14,Dr. Adnan Büyükdeniz Caddes,YOL ÜSTÜ,YOL ÜSTÜ,60,07:45-17:00,ÜMRANİYE,29.1193021979308995,41.0338597859799989
651,Dr. Adnan Büyük Deniz Caddesi 15,Dr. Adnan Büyükdeniz Caddes,YOL ÜSTÜ,YOL ÜSTÜ,45,07:45-17:00,ÜMRANİYE,29.1195714114978017,41.0341904952674028
652,Matbaacılar Sitesi Yanı,Matbaacılar Sitesi Yan,AÇIK OTOPARK,AÇIK OTOPARK,250,24 Saat,ZEYTİNBURNU,28.9185726180047986,41.0235276331245018
653,Çekmeköy Çavuşbaşı Caddesi 3,Çekmeköy Çavuşbaşı Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-19:00,ÇEKMEKÖY,29.1727403294819005,41.0306743941619985
654,Nadide Sokak 4,Nadide Soka,YOL ÜSTÜ,YOL ÜSTÜ,45,08:00-18:00,GÜNGÖREN,28.8911461830138983,41.0089025188688012
655,Ümraniye Dr. Fazıl Küçük Caddesi 5,Ümraniye Dr. Fazıl Küçük Caddes,YOL ÜSTÜ,YOL ÜSTÜ,24,08:00-17:00,ÜMRANİYE,29.1125243481899005,41.0269298684413002
656,Hat Boyu Caddesi 1,Hat Boyu Caddes,YOL ÜSTÜ,YOL ÜSTÜ,24,09:00-19:00,PENDİK,29.2338305711746003,40.8801285125299998
657,Unkapanı Açık Otoparkı,Unkapanı Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,55,08:00-18:00,FATİH,28.9642008826110988,41.0195899292842014
658,Eminönü Cep Otoparkı,Eminönü Cep Otopark,YOL ÜSTÜ,YOL ÜSTÜ,25,08:00-19:00,FATİH,28.9760904316026995,41.0169576758642975
659,Cevizli Açık Otoparkı,Cevizli Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,100,07:00-20:00,KARTAL,29.1711846706992013,40.9179041192046
660,Karaköy Kemankeş Caddesi 1,Karaköy Kemankeş Caddes,YOL ÜSTÜ,YOL ÜSTÜ,45,08:00-00:00,BEYOĞLU,28.978452683787399,41.0234164887299002
661,Fatih Mütercim Asım Caddesi 1,Fatih Mütercim Asım Caddes,YOL ÜSTÜ,YOL ÜSTÜ,45,08:00-19:00,FATİH,28.9443343877792003,41.0219783846295982
662,Ressam Halim Sokak Açık Otoparkı,Ressam Halim Sokak Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,120,24 Saat,BAHÇELİEVLER,28.8640917646051989,40.9964748782309982
663,Avni Akyol Bulvarı 4,Avni Akyol Bulvar,YOL ÜSTÜ,YOL ÜSTÜ,25,09:00-19:00,BAŞAKŞEHİR,28.688715819675501,41.071514138795898
664,19 Mayıs Açık,19 Mayıs Açı,AÇIK OTOPARK,AÇIK OTOPARK,65,24 Saat,ŞİŞLİ,28.9940804532141989,41.0563334513550018
665,Uzunçayır P+R,Uzunçayır P+,AÇIK OTOPARK,AÇIK OTOPARK,150,24 Saat,KADIKÖY,29.0580600500106989,40.9987432025141985
666,Bahçeşehir Doğa Parkı Caddesi 1,Bahçeşehir Doğa Parkı Caddes,YOL ÜSTÜ,YOL ÜSTÜ,25,09:00-20:00,BAŞAKŞEHİR,28.6911566336690989,41.0673299119546016
667,Bayrampaşa Adapark Katlı Otoparkı,Bayrampaşa Adapark Katlı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,650,24 Saat,BAYRAMPAŞA,28.8872194290160991,41.0641450801524996
668,Merdivenköy Açık Otoparkı,Merdivenköy Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,23,08:00-17:00,KADIKÖY,29.0606456995009985,40.9874485122210004
669,1293 Yavuz Selim Otomatik Otoparkı,Yavuz Selim Otomatik Otopark,KAPALI OTOPARK,KAPALI OTOPARK,60,24 Saat,FATİH,28.9529224727736008,41.0232990736502003
670,Şehremini Açık Otoparkı,Şehremini Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,30,08:00-19:00,FATİH,28.9333020173580984,41.0134968049432018
671,Bayrampaşa Devlet Hastanesi Cep Otoparkı 1,Bayrampaşa Devlet Hastanesi Cep Otopark,YOL ÜSTÜ,YOL ÜSTÜ,75,08:00-19:00,BAYRAMPAŞA,28.9031956893256989,41.0414957483584004
672,Bayrampaşa Yenidoğan Mahallesi Zemin Altı Otoparkı,Bayrampaşa Yenidoğan Mahallesi Zemin Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,120,24 Saat,BAYRAMPAŞA,28.9087543358991006,41.0395060134862035
673,Pendik Sahil İdo,Pendik Sahil İd,AÇIK OTOPARK,AÇIK OTOPARK,100,24 Saat,PENDİK,29.2370238482333988,40.8755235231537029
674,Şirinevler Meydan Zeminaltı Otoparkı,Şirinevler Meydan Zeminaltı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,400,24 Saat,BAHÇELİEVLER,28.8496286819982011,40.9925266902717027
675,Azerbaycan Dostluk Parkı Zemin Altı Otoparkı,Azerbaycan Dostluk Parkı Zemin Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,400,24 Saat,BAĞCILAR,28.8539815179886006,41.044321574629798
676,Zeynep Kamil Hastanesi Önü 5,Zeynep Kamil Hastane Ön,YOL ÜSTÜ,YOL ÜSTÜ,39,08:00-17:00,ÜSKÜDAR,29.0252871470443985,41.015537699420797
677,Dr.Fahri Atabey Caddesi 8,Üsküdar Dr.Fahri Atabey Caddes,YOL ÜSTÜ,YOL ÜSTÜ,23,08:00-18:00,ÜSKÜDAR,29.019407421738201,41.0191898475789998
678,Paşalimanı Sosyal Tesis Önü 3,Paşalimanı Sosyal Tesisler Ön,YOL ÜSTÜ,YOL ÜSTÜ,26,07:00-19:00,ÜSKÜDAR,29.0253373575026004,41.0336017768459982
679,Ataşehir Bulvarı 20,Ataşehir Bulvar,YOL ÜSTÜ,YOL ÜSTÜ,22,08:00-18:00,ATAŞEHİR,29.1276947278215985,40.9933479050611993
680,Küçükçekmece Fevzi Çakmak Meydanı Zemin Altı Otoparkı,Küçükçekmece Fevzi Çakmak Meydanı Zemin Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,1000,24 Saat,KÜÇÜKÇEKMECE,28.7932531936643983,41.0085446963211027
681,Ümraniye Dr.Adnan Büyükdeniz Caddesi Açık Otoparkı,Ümraniye Dr.Adnan Büyükdeniz Caddesi Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,230,06:45-18:00,ÜMRANİYE,29.1118522373458006,41.0320801168968998
682,Bayrampaşa Muzaffer Öztekin Zemin Altı Otoparkı,Bayrampaşa Muzaffer Öztekin Zemin Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,400,24 Saat,BAYRAMPAŞA,28.9067765960929002,41.0511236963451012
683,Levent Büyükdere Caddesi 4,Levent Büyükdere Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,09:00-22:00,BEŞİKTAŞ,-99,-99
684,Emirgan Sahil 7,Emirgan Sahi,YOL ÜSTÜ,YOL ÜSTÜ,15,08:00-00:00,SARIYER,29.0575767708468007,41.1070443369881033
685,Reşitapaşa Caddesi 11,Reşitpaşa Caddes,YOL ÜSTÜ,YOL ÜSTÜ,45,08:30-17:30,AVCILAR,28.7152270465457988,40.9811745900338025
686,Divan Önü 2,Bebek Arnavutköy Caddes,YOL ÜSTÜ,YOL ÜSTÜ,19,08:00-00:00,BEŞİKTAŞ,29.0569322875040008,41.0843327967143992
687,Cevizli Açık Otoparkı,Cevizli Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,100,07:00-20:00,KARTAL,29.1711486846135983,40.9179174281845022
688,Başakşehir Metro P+R,Başakşehir Metro P+,AÇIK OTOPARK,AÇIK OTOPARK,125,07:00-18:00,BAŞAKŞEHİR,28.8009291052705017,41.1073715702680005
689,Üsküdar Ünalan Açık P+R,Üsküdar Ünalan Açık P+,AÇIK OTOPARK,AÇIK OTOPARK,180,06:30-19:00,ÜSKÜDAR,29.058794778934999,40.9983481796528011
690,Maçka Açık Otoparkı,Maçka Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,110,08:00-20:00,ŞİŞLİ,28.9910309360562017,41.0458173019960029
691,Belgrad Ormanı Kurt Kemeri Girişi Otoparkı,Belgrad Ormanı Kurt Kemeri Girişi Otopark,AÇIK OTOPARK,AÇIK OTOPARK,5000,06:00-00:00,EYÜP,28.9196677863534006,41.1967928344883987
692,Şişli Rumeli Caddesi Metro Yanı 1,Şişli Rumeli Caddesi Metro Yan,YOL ÜSTÜ,YOL ÜSTÜ,45,08:00-00:00,ŞİŞLİ,28.9870563332588986,41.0537351622191977
693,Belgrad Ormanı Kurt Kemeri Girişi Otoparkı,Belgrad Ormanı Kurt Kemeri Girişi Otopark,AÇIK OTOPARK,AÇIK OTOPARK,5000,06:00-00:00,EYÜP,28.9205176741652998,41.1970264007371014
694,Pendik Yenişehir Mustafa Akyol Sokak 2,Pendik Yenişehir Mustafa Akyol Soka,YOL ÜSTÜ,YOL ÜSTÜ,115,08:00-19:00,PENDİK,29.3079115329346997,40.9270358315771006
695,Halkalı Mahallesi Zemin Altı Otoparkı,Halkalı Mahallesi  Zemin Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,347,24 Saat,KÜÇÜKÇEKMECE,28.7848154047482012,41.0358298706200983
696,Bülent Ecevit Kültür Merkezi Açık Otoparkı,Bülent Ecevit Kültür Merkezi Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,277,09:00-19:00,KARTAL,29.1970078361443015,40.8854464636483002
697,Yamanevler P+R Açık Otoparkı,Yamanevler P+R Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,100,08:00-19:00,ÜMRANİYE,29.1056718520820006,41.0260683915104991
698,Pendik Sahil Engelliler Merkez Önü,Pendik Sahil Engelliler Merkez Ön,AÇIK OTOPARK,AÇIK OTOPARK,100,24 Saat,PENDİK,29.2330900330923988,40.8733684846933016
699,Miniatürk Çadır Açık Otoparkı,Miniatürk Çadır Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,250,24 Saat,BEYOĞLU,28.9502120388312996,41.0587435307513005
700,Gedikpaşa Açık Otoparkı,Gedikpaşa Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,175,24 Saat,FATİH,28.9637096267093987,41.0073123357648015
701,Bayrampaşa Altıntepsi Zemin  Altı Otoparkı,Bayrampaşa Altıntepsi Zemin Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,110,24 Saat,BAYRAMPAŞA,28.9067464587186009,41.0382110158252971
702,Ümraniye Toya Sokak 2,Ümraniye Toya Soka,YOL ÜSTÜ,YOL ÜSTÜ,34,07:45-17:00,ÜMRANİYE,29.1150975405449017,41.0261305145799966
703,Ümraniye Toya Sokak 3,Ümraniye Toya Soka,YOL ÜSTÜ,YOL ÜSTÜ,34,07:45-17:00,ÜMRANİYE,29.1151310681575985,41.0260849861270032
704,Ümraniye Okan Sokak Zeminaltı Otoparkı,Ümraniye  Okan Sokak Zeminaltı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,125,24 Saat,ÜMRANİYE,29.0911258695496997,41.0287783376959965
705,Cemal Kamacı Spor Kompleksi Zemin Altı Otoparkı,Cemal Kamacı Spor Kompleksi Zemin Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,510,24 Saat,KAĞITHANE,28.9586859011259001,41.0537869010329004
706,İcadiye Açık Otoparkı,İcadiye Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,135,07:00-18:00,ÜSKÜDAR,29.0427961631656011,41.0248455789953965
707,Çekmeköy Mimar Sinan Caddesi 3,Çekmeköy Mimar Sinan Caddes,YOL ÜSTÜ,YOL ÜSTÜ,25,08:00-19:00,ÇEKMEKÖY,29.1763980638422993,41.0327008263969972
708,Kalamış Parkı Yol Üstü 2,Kalamış Parkı Yol Üst,YOL ÜSTÜ,YOL ÜSTÜ,25,09:00-19:00,KADIKÖY,29.036449671343501,40.9692532913463978
